GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,org.uteq.backend.common.exception,TooManyRequestsException,0,5,0,0,0,2,0,1,0,1
backend,org.uteq.backend.seguridad.persona.service,PersonaService,41,213,3,9,3,56,6,12,3,9
backend,org.uteq.backend.config,RedisCacheConfig,0,62,0,0,0,19,0,2,0,2
backend,org.uteq.backend.config,SecurityConfig,0,171,0,0,0,30,0,10,0,10
backend,org.uteq.backend.deportivo.categoria.controller,CategoriaController,12,33,0,0,2,6,2,5,2,5
backend,org.uteq.backend.deportivo.evaluacion.service,EvaluacionDiariaService,184,448,24,28,29,106,25,17,6,10
backend,org.uteq.backend.deportivo.horario.service,HorarioService,26,472,2,24,5,102,4,32,2,21
backend,org.uteq.backend.deportivo.entrenador.controller,EntrenadorController,19,21,0,0,3,4,3,3,3,3
backend,org.uteq.backend.deportivo.especialidad.controller,EspecialidadController,6,33,0,0,1,6,1,5,1,5
backend,org.uteq.backend.academico.alerta.dto,AlertaDtos.EstudianteEnRiesgoResponse,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.alerta.dto,AlertaDtos.PanelAlertasResponse,0,30,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.categoria.dto,CategoriaResponse,0,24,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.categoria.dto,CategoriaRequest,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.movimiento.controller,MovimientoStockController,0,29,0,0,0,5,0,4,0,4
